,Name,Description
157,Tasmannia stipitata,"Tasmannia stipitata, commonly known as the Dorrigo pepper or northern pepperbush is a rainforest shrub of temperate forests of the Northern Tablelands of New South Wales, Australia. Leaves are fragrant, narrow-lanceolate to narrow-elliptic, 8–13 cm long. Dark bluish to mauve berries follow the flowers on female shrubs. The species is dioecious, with male and female flowers on separate plants."
158,Trachyspermum roxburghianum,"Trachyspermum roxburghianum (also known as Carum roxburghianum) is a flowering plant in the family Apiaceae. It is grown extensively in South Asia, Southeast Asia, and Indonesia. Its aromatic dried fruits, like those of its close relative ajwain, are often used in Bengali cuisine but are rarely used in the rest of India. The fresh leaves are used as an herb in Thailand and it is used medicinally in Myanmar and Sri Lanka."
159,Trigonella caerulea,"Trigonella caerulea (blue fenugreek, blue melilot, Georgian: ულუმბო, უცხო სუნელი - ulumbo, utskho suneli) is an annual herb in the family Fabaceae. It is 30–60 cm tall. Its leaves are obovate or lance-shaped, 2–5 cm long, 1–2 cm wide and saw-toothed in upper part. Its flower stalks are compact, globular racemes, longer than the leaves. The sepals are twice as short as the corolla, its teeth are equal to the tube. The corolla is 5.5-6.5 mm long and blue. The pods are erect or slightly curved, compressed, 4–5 mm long with beak 2 mm. The seeds are small and elongated. It blossoms in April–May, the seeds ripen in May–June. It is self-pollinated."
160,Turmeric,"Turmeric () is a flowering plant, Curcuma longa, of the ginger family, Zingiberaceae, the rhizomes of which are used in cooking. The plant is a perennial, rhizomatous, herbaceous plant native to the Indian subcontinent and Southeast Asia that requires temperatures between 20 and 30 °C (68 and 86 °F) and a considerable amount of annual rainfall to thrive. Plants are gathered each year for their rhizomes, some for propagation in the following season and some for consumption.
The rhizomes are used fresh or boiled in water and dried, after which they are ground into a deep orange-yellow powder commonly used as a coloring and flavoring agent in many Asian cuisines, especially for curries, as well as for dyeing, characteristics imparted by the principal turmeric constituent, curcumin.Turmeric powder has a warm, bitter, black pepper-like flavor and earthy, mustard-like aroma.Curcumin, a bright yellow chemical produced by the turmeric plant, is approved as a food additive by the World Health Organization, European Parliament, and United States Food and Drug Administration.Although long used in Ayurvedic medicine, where it is also known as haridra, there is no high-quality clinical evidence that consuming turmeric or curcumin is effective for treating any disease."
161,Urfa biber,"Urfa biber (also known as isot pepper, ) is a dried Turkish chili pepper of the type Capsicum annuum cultivated in the Urfa region of Turkey. It is often described as having a smoky, raisin-like taste. Urfa biber is technically a red (chili) pepper, ripening to a dark maroon on the plant. The peppers go through a two-part process, where they are sun-dried during the day and wrapped tightly at night. The night process is called 'sweating', and works to infuse the dried flesh with the remaining moisture of the pepper. The result is an appearance ranging from deep purple to a dark, purplish black. Urfa biber is less spicy than many other chili peppers, but provides a more lasting build of heat.
The pungency of the urfa biber is 7,500 SHU on the Scoville scale.It is traditionally used in Turkey in meat and savoury foods.Once dried, Urfa bibers are usually processed immediately. Producers grind them up and add a small amount of salt, which prevents the flakes from forming large clumps. Alternatively, the peppers are pickled. Pickled Urfa biber is not typically found outside of Turkey because it isn't exported."
162,Uzazi,"The term Uzazi refers to the dried fruit of the West African deciduous shrub Zanthoxylum gilletii, syn. Fagara tessmannii, a member of the  'prickly ash' Zanthoxylum genus. The name of the spice is derived from Igbo, a language in Nigeria, where the spice is grown and harvested on a commercial basis. Zanthoxylum gilletii is a close relative of the Sichuan pepper, and uzazi has a similar taste profile to the Asian spice. However, unlike Sichuan pepper where only the pericarp of the fruit is used, uzazi is used whole (both pericarp and seed). This may explain why uzazi has a spicier flavour and greater pungency than sichuan pepper. 
Even in West Africa this is a rare spice, and typically only five or six dried fruit are added to a dish."
163,Vanilla,"Vanilla is a spice derived from orchids of the genus Vanilla, primarily obtained from pods of the Mexican species, flat-leaved vanilla (V. planifolia).Pollination is required to make the plants produce the fruit from which the vanilla spice is obtained. In 1837, Belgian botanist Charles François Antoine Morren discovered this fact and pioneered a method of artificially pollinating the plant. The method proved financially unworkable and was not deployed commercially. In 1841, Edmond Albius, a 12-year-old enslaved child who lived on the French island of Réunion in the Indian Ocean, discovered that the plant could be hand-pollinated.  Hand-pollination allowed global cultivation of the plant. Noted French botanist and plant collector Jean Michel Claude Richard falsely claimed to have discovered the technique three or four years earlier. By the end of the 20th century, Albius was considered the true discoverer.Three major species of vanilla currently are grown globally, all of which derive from a species originally found in Mesoamerica, including parts of modern-day Mexico. They are V. planifolia (syn. V. fragrans), grown on Madagascar, Réunion, and other tropical areas along the Indian Ocean; V. tahitensis, grown in the South Pacific; and V. pompona, found in the West Indies, Central America, and South America. The majority of the world's vanilla is the V. planifolia species, more commonly known as Bourbon vanilla (after the former name of Réunion, Île Bourbon) or Madagascar vanilla, which is produced in Madagascar and neighboring islands in the southwestern Indian Ocean, and in Indonesia. Madagascar's and Indonesia's cultivations produce two-thirds of the world's supply of vanilla.
Vanilla is the second-most expensive spice after saffron because growing the vanilla seed pods is labor-intensive. Nevertheless, vanilla is widely used in both commercial and domestic baking, perfume production, and aromatherapy."
164,Wasabi,"Wasabi (Japanese: ワサビ, わさび, or 山葵, pronounced [waꜜsabi]; Eutrema japonicum or Wasabia japonica), or Japanese horseradish, is a plant of the family Brassicaceae, which also includes horseradish and mustard in other genera. A paste made from its ground rhizomes is used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard or horseradish rather than chili peppers in that it stimulates the nose more than the tongue. However, most common wasabi flavorings are ersatz, and are made of horseradish and food coloring.
The plant grows naturally along stream beds in mountain river valleys in Japan. The two main cultivars in the marketplace are E. japonicum 'Daruma' and 'Mazuma', but there are many others.
The oldest record of wasabi as a food dates to the 8th century AD. The popularity of wasabi in English-speaking countries has coincided with that of sushi, growing steadily starting in about 1980.Due to issues that limit the Japanese wasabi plant's mass cultivation and thus increase its price and decreased availability outside Japan, the western horseradish plant is generally used in place of the Japanese horseradish. This version is commonly referred to as ""western wasabi"" (西洋わさび) in Japan."
165,White mustard,"White mustard (Sinapis alba) is an annual plant of the family Brassicaceae. It is sometimes also referred to as Brassica alba or B. hirta. Grown for its seeds, used to make the condiment mustard, as fodder crop, or as a green manure, it is now widespread worldwide, although it probably originated in the Mediterranean region."
166,Wurfbainia villosa,"Wurfbainia villosa, also known by its basionym Amomum villosum, (Chinese: (Chinese: 砂仁; pinyin: shārén) is a plant in the ginger family that is grown throughout Southeast Asia and in South China. Similar to cardamom, the plant is cultivated for its fruits, which dry into pods when mature and contain strongly aromatic seeds. W. villosa is an evergreen plant in the ginger family, grow in the shade of the tree, 1.5 to 3.0 m high, whose branches and leaves are similar to ginger's. W. villosa has a characteristic that flowers spread on the ground can bear fruit while flowers on the branches can not. Its flowers bloom in March and April and are the colour of white jade."
167,Xiao mi la pepper,"The cultivar name xiao mi la literally translates to Little Rice Chili in English. The Xiao Mi La pepper is often cited as one of the three most commonly used peppers in Chinese cuisines, along with facing heaven chilli and two vitex chilli. It is also known in China as ""Thai Pepper"", although that is a name used in other parts of the world for a different chili cultivar than Xiao mi la. Xiao mi la is the only wild pepper species in China, where it has naturalized in the southern Yunnan Province of China as a perennial shrub. Xiao mi la is adapted to this environment of high temperature and humidity, as well as resistance to East Asian disease pressures, low light, and barren soil."
168,Xylopia aethiopica,"Xylopia aethiopica is an evergreen, aromatic tree, of the Annonaceae family that can grow up to 20m high. It is a native to the lowland rainforest and moist fringe forests in the savanna zones of Africa.
The dried fruits of X. aethiopica (grains of Selim) are used as a spice and an herbal medicine."
169,Zanthoxylum acanthopodium,"Zanthoxylum acanthopodium, or andaliman, is a species of flowering plant in the family Rutaceae. Its range includes southern western China (Guangxi, Guizhou, Sichuan, Tibet, and Yunnan), Bangladesh, Bhutan, northern India and northeastern India (Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Uttar Pradesh, and West Bengal), Nepal, Laos, Burma, northern Thailand, Vietnam, Indonesia (northern Sumatran highlands), and Peninsular Malaysia.Much like the closely related Sichuan pepper (Z. piperitum), the seed pericarps are used as spices in cooking and have a similar tongue-numbing characteristic. However, in cooking, the flavour of andaliman has lemon-like notes (similar to those of lemon-grass) as well as a hint of the aromatic pandan leaf.


== References =="
170,Zanthoxylum armatum,"Zanthoxylum armatum, also called winged prickly ash or rattan pepper in English, is a species of plant in the family Rutaceae. It is an aromatic, deciduous, spiny shrub growing to 3.5 metres (11 ft) in height, endemic from Pakistan across to Southeast Asia and up to Korea and Japan. It is one of the sources of the spice Sichuan pepper, and also used in folk medicine, essential oil production and as an ornamental garden plant."
171,Zanthoxylum piperitum,"Zanthoxylum piperitum, also known as Japanese pepper or Japanese prickly-ash is a deciduous aromatic spiny shrub or small tree of the citrus and rue family Rutaceae, native to Japan and Korea.
It is called sanshō (山椒) in Japan and chopi (초피) in Korea. Both the leaves and fruits (peppercorns) are used as an aromatic and flavoring in these countries. It is closely related to the Chinese Szechuan peppers, which come from plants of the same genus."
172,Zingiber,"The genus Zingiber is native to Southeast Asia especially in Thailand, China, the Indian Subcontinent, and New Guinea.  It contains the true gingers, plants grown the world over for their culinary value. The most well known are Z. officinale and Z. mioga, two garden gingers."
